"frame","x [nm]","y [nm]"
1,1796.60,4785.75
1,926.52,2102.72
1,4736.20,7839.24
1,9664.12,1175.60
1,2512.47,8273.53
1,2385.21,6600.53
1,4503.95,3155.46
1,2955.62,6833.64
1,7209.80,8064.12
1,3798.14,1892.96
1,5483.92,8389.36
1,9825.67,7822.18
1,8709.67,9356.02
1,6741.32,4839.98
1,6856.03,7075.10
1,7992.86,5631.20
1,8809.81,9625.00
1,4557.99,5148.77
1,624.03,6905.76
1,3515.17,3024.15
1,261.63,8744.16
1,5997.14,7501.90
1,9943.03,771.16
1,2597.62,1396.69
1,3750.62,5020.92
1,5764.85,2227.41
1,815.59,4144.25
1,5957.09,8243.03
1,5385.65,1240.87
1,9942.62,1633.73
1,692.96,6220.47
1,3523.44,4434.75
1,5345.27,5144.25
1,3238.71,9349.62
1,3758.92,2707.16
1,6108.96,7396.46
1,5435.47,8282.78
1,8045.57,410.66
1,2490.28,6648.08
1,5079.20,8791.59
1,6953.42,8491.16
1,804.50,1701.23
1,5088.78,2199.04
1,6714.68,9710.43
1,2202.06,8738.02
1,3673.08,9573.63
1,4375.66,5787.72
1,9747.71,656.94
1,4118.22,8115.55
1,8180.00,895.27
1,6376.62,381.43
1,5744.61,5169.81
1,8490.98,5697.00
1,6887.18,4473.70
1,6327.27,420.23
1,14.18,4747.11
1,7832.58,2221.67
1,7867.79,3439.93
1,7931.48,7526.50
1,9780.44,880.82
1,1769.20,8530.38
1,9399.27,2902.24
1,3400.96,1745.71
1,4974.63,2732.14
1,6622.45,5564.43
1,1593.67,2914.44
1,627.16,674.12
1,9850.66,1385.69
1,1557.25,7127.56
1,6896.41,4321.74
1,4917.07,7256.79
1,192.23,5249.60
1,1718.34,220.52
1,2329.56,2397.54
1,4661.88,1995.76
1,1525.17,7990.59
1,7785.16,951.64
1,652.01,4416.42
1,4099.37,6587.14
1,9380.54,5457.16
1,8636.44,3822.01
1,7625.68,788.02
1,2511.05,7734.76
1,9040.30,6308.29
1,5110.09,5239.14
1,5810.26,4588.96
1,2928.32,3601.07
1,1723.74,2466.31
1,4612.28,5690.59
1,9127.28,8579.00
1,3551.42,6338.67
1,1232.28,8680.64
1,6101.28,5453.27
1,9862.35,8609.98
1,9654.94,6109.23
1,6508.82,248.36
1,8774.48,3910.69
1,6714.06,765.27
1,3625.06,664.82
1,6484.23,3062.47
2,8037.30,8539.74
2,1376.44,4221.06
2,9519.03,599.75
2,9703.93,5012.76
2,4553.67,465.88
2,9120.64,8574.30
2,8465.64,3915.64
2,4033.18,4760.31
2,412.79,6986.70
2,2088.13,4013.31
2,9806.83,4231.64
2,9483.42,4191.71
2,5614.34,5090.53
2,2295.50,6227.45
2,7021.63,8557.75
2,1874.43,1088.26
2,543.10,8685.42
2,7346.34,4860.83
2,6075.25,2168.37
2,9127.54,7398.86
2,5693.21,8017.82
2,691.12,7282.07
2,6963.61,4219.76
2,3842.27,9232.52
2,575.20,591.86
2,9814.01,6677.40
2,7572.78,3344.34
2,5189.91,7409.00
2,1137.13,265.84
2,5421.52,7121.58
2,9434.54,8916.08
2,8207.62,433.70
2,9009.94,3835.45
2,3168.87,7795.57
2,3886.29,684.59
2,724.32,8081.86
2,6323.10,1392.13
2,770.36,9835.66
2,1270.22,6911.44
2,8460.79,6713.36
2,7474.42,4556.87
2,6641.65,9235.96
2,8339.42,4400.52
2,5278.62,2460.92
2,1095.40,1834.85
2,5665.88,8995.14
2,4983.01,1890.36
2,7415.21,6841.52
2,1824.04,4682.51
2,5210.99,9229.57
2,2120.19,9316.90
2,5842.54,4271.18
2,9609.84,3379.38
2,8761.38,3367.12
2,1764.45,40.85
2,1373.69,8809.47
2,3869.95,8296.87
2,851.10,2868.76
2,7161.41,1892.02
2,6178.47,939.89
2,6769.38,2104.74
2,1977.08,1949.17
2,4533.31,8908.96
2,9582.12,6593.47
2,1040.87,4557.72
2,6377.97,7900.71
2,6980.90,6016.32
