"frame","x [nm]","y [nm]"
1,1750.58,4776.51
1,909.37,2108.29
1,4738.46,7825.88
1,9639.34,1180.89
1,2488.58,8269.57
1,2340.82,6586.44
1,4462.99,3147.59
1,2919.76,6818.41
1,7252.70,8053.58
1,3768.17,1890.67
1,5508.00,8382.04
1,9867.16,7825.85
1,8762.27,9361.58
1,6733.35,4826.51
1,6883.55,7059.99
1,8014.17,5616.72
1,8860.35,9634.61
1,4521.74,5134.62
1,575.99,6898.61
1,3476.90,3017.51
1,231.89,8767.20
1,6016.67,7487.19
1,9915.92,778.81
1,2577.72,1398.74
1,3705.11,5007.58
1,5727.84,2223.51
1,777.42,4141.42
1,5985.98,8233.73
1,5355.18,1240.61
1,9920.97,1638.95
1,643.42,6211.86
1,3477.31,4423.03
1,5320.20,5129.83
1,3239.05,9361.48
1,3722.39,2701.52
1,6129.18,7381.51
1,5457.13,8274.18
1,8014.29,416.22
1,2447.34,6633.74
1,5101.24,8789.31
1,6997.06,8483.46
1,792.47,1709.28
1,5052.69,2194.92
1,6749.59,9717.02
1,2182.79,8744.36
1,3676.89,9585.91
1,4345.77,5772.05
1,9719.74,664.40
1,4115.45,8105.87
1,8147.88,899.44
1,6347.89,384.87
1,5726.22,5155.24
1,8517.15,5683.33
1,6875.43,4461.57
1,6298.53,423.50
1,7802.56,2220.34
1,7853.88,3432.58
1,7976.29,7514.17
1,9753.89,887.50
1,1741.13,8534.25
1,9390.81,2899.69
1,3373.93,1744.57
1,4935.55,2725.90
1,6624.60,5549.00
1,1564.19,2913.23
1,626.64,687.54
1,9827.34,1391.09
1,1510.02,7115.68
1,6882.32,4310.21
1,4915.92,7240.81
1,166.22,5255.32
1,1713.50,230.09
1,2301.56,2396.04
1,4628.17,1992.48
1,1486.18,7985.91
1,7752.73,954.97
1,611.90,4413.41
1,4076.74,6570.68
1,9402.34,5450.44
1,8636.80,3813.62
1,7593.69,791.67
1,2478.16,7723.34
1,9074.78,6298.23
1,5082.90,5224.49
1,5783.75,4576.36
1,2887.37,3593.07
1,1698.16,2466.57
1,4584.45,5674.98
1,9180.63,8579.16
1,3517.54,6322.87
1,1202.01,8690.87
1,6093.32,5437.95
1,9908.76,8618.11
1,9681.67,6106.37
1,6480.15,252.36
1,8777.09,3902.20
1,6683.14,767.77
1,3605.57,667.61
1,6448.46,3056.33
2,8090.58,8533.62
2,1335.64,4215.32
2,9489.75,607.12
2,9717.73,5010.03
2,4530.94,468.50
2,9174.01,8574.36
2,8465.90,3906.63
2,3988.31,4747.49
2,371.61,6986.17
2,2046.60,4005.81
2,9811.03,4230.52
2,9489.26,4187.09
2,5592.60,5076.22
2,2247.34,6213.93
2,7066.32,8550.51
2,1861.59,1093.93
2,510.41,8702.00
2,7347.80,4847.48
2,6038.46,2164.96
2,9173.17,7392.42
