"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,1798.77353,16056.74265,179.21794,3127.50674,99.57135,24.25347,16.41543
2,1,1938.52437,13429.0665,104.49578,787.66014,111.03217,25.66332,23.90568
3,1,2027.9267,15695.33492,101.89405,2454.18173,145.89081,36.43234,10.51871
4,1,2273.92829,16858.08564,156.93609,2921.74188,100.74397,34.75662,19.14349
5,1,2873.16676,14509.71981,125.35665,1476.21897,112.39617,24.57466,17.49082
6,1,3432.99003,14307.07097,91.80178,1461.20477,126.4532,24.93879,10.10859
7,1,3477.32077,13350.97854,94.17088,721.0701,114.84791,27.15356,22.67927
8,1,4486.75041,16277.70798,106.00989,1596.38817,126.16086,30.81885,14.67305
9,1,4802.38711,15395.25925,139.5223,2683.73802,100.58195,30.99785,14.90583
10,1,5347.91026,17677.49907,118.07874,1318.82035,106.59868,23.99346,17.05757
11,1,5455.86402,3565.9963,104.15719,2651.216,141.30837,28.14373,8.03431
12,1,5885.38156,9076.2523,108.68127,4923.16589,153.39541,40.18636,6.641
13,1,5945.86636,3191.39381,105.97691,2801.48728,129.55041,32.97505,9.07686
14,1,5920.90303,12179.31304,78.95802,771.72784,138.49402,27.65383,15.67832
15,1,6406.71,19548.90514,104.87541,2379.50675,110.96467,27.75088,8.89919
16,1,6534.43248,11003.57063,125.56656,3529.58071,123.38788,40.13692,11.94798
17,1,6785.12766,12222.54046,100.13651,1898.50966,136.02253,37.33932,13.37336
18,1,7069.75016,4446.89613,102.43352,4125.15407,130.76605,37.38083,6.61088
19,1,7518.93748,9290.85233,66.60907,701.6877,132.47249,26.08141,12.08233
20,1,7435.30251,12528.67811,118.97094,2316.77531,130.23957,34.54314,14.10933
21,1,7508.23086,19440.28784,164.23407,5317.30537,115.70781,51.14342,16.8422
22,1,7817.66443,10839.92002,146.44887,4664.5094,107.20947,33.77832,10.36647
23,1,7797.23909,19247.94108,154.11869,5650.17648,116.50107,42.60439,11.78895
24,1,8193.34562,11564.58811,98.41906,785.56156,137.22962,25.46036,21.28137
25,1,8517.56399,14813.38016,104.38494,2953.83019,132.39206,30.02762,7.71522
26,1,8866.49243,10762.69177,167.19475,10600.08328,115.582,62.78771,10.78794
27,1,8959.182,4796.24875,102.93672,5724.92171,140.14299,38.57571,5.0345
