"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,916.58483,4086.85628,175.08145,1469.06981,62.61497,16.95424,23.33777
2,1,2072.87461,16027.21662,243.68401,6774.85824,47.59973,36.10995,20.3842
3,1,2130.1759,13443.01495,93.9751,1170.17485,73.69743,17.84644,9.66958
4,1,2217.53679,15709.17283,94.63604,4158.38562,114.81778,36.87032,5.62427
5,1,2456.04868,16852.96918,96.41169,1923.26383,92.5045,29.23286,9.81138
6,1,2744.71492,6407.91997,101.30795,746.91699,77.54585,20.51662,19.23158
7,1,3001.24725,14545.47631,80.09505,1065.34015,84.45249,24.16269,10.41743
8,1,3406.96979,18258.32463,66.04403,415.28406,74.17638,13.32481,10.79513
9,1,3590.30477,13385.75943,113.42085,1530.10269,71.95317,18.73856,10.97376
10,1,3592.79259,14326.6123,99.39846,2496.07454,92.76813,27.75496,7.72418
11,1,3560.24007,19009.12027,79.69106,839.72249,79.99792,21.63338,11.71863
12,1,4612.98383,16346.34264,78.74672,986.60725,77.36735,17.77172,8.31725
13,1,4916.74406,15425.3031,119.29526,1356.30727,69.37247,18.03088,13.02368
14,1,5441.53538,17744.20587,107.69619,837.72558,73.05137,17.57969,16.70231
15,1,5621.30696,3695.20062,75.66598,1085.00609,101.52097,25.29302,9.65944
16,1,5764.08098,12169.31014,6.45742,140.05634,94.12059,19.52862,5.6607
17,1,5974.89416,9160.42626,99.43231,3701.1589,97.30035,26.38442,5.13386
18,1,6085.41,3324.23238,77.45448,905.0835,93.66572,24.90802,11.79408
19,1,6559.06793,14743.93765,138.11759,965.25501,75.65467,20.64291,26.92831
20,1,6532.7051,19570.49576,98.40358,1491.79031,81.51659,23.7051,10.7256
21,1,6578.38996,11060.32849,91.51911,1443.98671,88.53367,25.18852,10.25865
22,1,6858.93678,12278.39789,89.68155,2591.71148,94.71296,32.20669,7.08302
23,1,7189.4156,4555.89588,113.004,2822.24014,77.11772,30.30873,9.3865
24,1,7572.53287,9398.2249,99.16675,1269.2923,77.49272,19.16918,10.48718
25,1,7521.62029,12604.97204,87.61969,2466.713,99.31962,27.98092,6.29592
26,1,7553.42165,19526.57717,94.19469,2852.15681,117.46224,34.86955,7.58211
27,1,7882.07298,10918.4567,104.64976,1136.18116,86.25306,24.78621,16.23659
28,1,7908.0929,19274.47315,117.94616,3993.55043,114.25963,41.00925,9.61892
29,1,8255.90685,11666.02954,118.05776,891.55133,81.13566,16.00494,17.09934
30,1,8560.3368,14850.87457,105.43945,2144.76409,68.82432,21.23587,7.83238
31,1,8864.24699,10791.33493,97.56616,5815.19229,123.86921,57.54416,6.46396
32,1,9040.2259,4880.38384,92.47638,3040.61757,94.02632,27.08217,5.54094
33,1,9475.57876,17776.65345,215.77652,4379.10437,54.77203,21.84398,15.32573
34,1,9553.26112,17967.71247,125.08805,888.16551,106.00757,28.41284,32.91108
35,1,9624.18209,1330.95507,124.9279,3020.29406,76.69152,35.34391,12.21249
36,1,9636.99672,6026.86848,100.1624,4080.43022,111.57387,42.85844,7.26209
37,1,9712.52367,18531.35032,105.12163,3990.06499,117.56893,40.00638,7.60766
38,1,9749.97688,19245.73843,117.04362,2795.62545,90.13926,27.86548,9.36011
39,1,9818.52603,9749.92258,89.70122,2456.99962,91.32474,32.27492,7.46713
40,1,10248.29253,2444.87556,89.87628,1214.88208,119.4897,27.74176,12.79933
41,1,10497.33095,2023.56878,73.52704,1245.71836,111.6923,28.00557,8.83456
42,1,10705.15236,19548.14433,107.06928,2958.01456,69.80607,23.34203,6.47824
43,1,10762.01283,4553.76595,102.77632,2096.12208,81.56175,28.09881,9.78855
44,1,10850.99079,6038.026,114.80087,2974.81108,110.08509,41.84369,12.40625
45,1,11273.16156,13708.15755,98.39028,922.07474,88.13928,23.19007,16.66974
46,1,11227.81721,15430.07337,88.9304,1283.38809,88.83534,23.51922,10.25003
47,1,11360.95716,2006.04049,85.09254,1935.38504,98.95778,21.64471,6.03048
48,1,11432.19622,16974.08685,116.83798,6560.66432,92.9051,48.5267,6.84694
49,1,11881.33035,11759.97862,121.3584,2667.32665,93.91265,32.94939,12.2169
50,1,12342.39088,12308.314,84.08307,473.33233,96.82037,25.7682,26.45958
51,1,12542.61518,3221.83992,93.97122,1430.63117,96.43048,23.55275,10.21497
52,1,12542.18586,7010.31068,98.6122,1913.30521,97.05977,27.6129,9.75203
53,1,12612.72638,10933.20041,91.21473,2037.68844,97.62532,25.19117,7.3708
54,1,12580.73448,17723.24745,141.2384,1398.84605,67.01338,24.89928,23.38365
55,1,12685.75828,2092.07797,120.39972,1305.94505,91.17011,22.97513,17.14713
56,1,12683.8019,12672.31622,83.05845,2023.05774,103.00251,31.59074,7.6861
57,1,12921.08371,10368.19712,89.31501,2647.66001,119.75029,34.34838,7.29959
58,1,13043.0632,8930.65926,80.19884,1080.73097,97.52221,21.87807,9.42864
59,1,13097.37918,2188.52516,64.45104,791.66849,114.54828,29.9383,11.54975
60,1,13115.63886,2482.66545,65.31924,658.55736,109.6262,23.7649,11.40654
61,1,13078.2454,3286.63612,95.00387,1742.60563,94.55636,23.54388,8.64365
62,1,13272.06756,11596.72145,89.97904,2477.64406,125.56367,40.60925,9.18991
63,1,13288.84764,18858.95417,146.21534,1861.06937,68.39631,24.79946,18.83515
64,1,13236.12976,10543.81615,210.13449,3768.2492,67.6488,31.70319,23.9854
